Basho,Araiso,Asahiyama[1],Azumazeki,Fujishima[1],Furiwake,Futagoyama[1],Hanakago[1],Hanakago[2],Hanakago[3],Hanaregoma[1],Hatachiyama,Isegahama[2],Izutsu[2],Izutsu[3],Kabutoyama,Kagamiyama,Kasugayama[1],Kasugayama[2],Kasugayama[3],Kiriyama[2],Kise[1],Kumagatani[1],Kumagatani[2],Magaki[2],Magaki[3],Michinoku[1],Mihogaseki[1],Mihogaseki[2],Minatogawa[1],Minatogawa[2],Minezaki,Miyagino[1],Nakagawa[3],Nakagawa[4],Nakamura[1],Nakamura[2],Nishikijima,Nishonoseki[2],Oguruma,Oitekaze[3],Onaruto[1],Onaruto[2],Onogawa[3],Oshima[1],Oshiogawa[2],Oyama,Sadogatake[1],Sanoyama[1],Sanoyama[2],Shikihide[2],Tagonoura[2],Takanohana,Takashima[1],Takashima[2],Takekuma[2],Takekuma[3],Tamanoi[1],Tanigawa[1],Tanigawa[2],Tatekawa,Tatsutagawa,Tatsutayama[2],Tomozuna,Urakaze,Wakafuji,Wakamatsu,Yamawake
1943.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,-,,,,,,,,,,,-,-,,,,,,,,-,
1944.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,-,,,,,,,,,,,,-,,,,,,,,-,
1944.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,-,,,,,,,,,,,,-,,,,,,,,-,
1944.11,,,,,,,,,,,,Tanigawa[1]-1-0-Sekiwake Kurosegawa--91-,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,-,,,,,,,,,,,,-,,,,,,,,-,
1945.06,,,,,,,,,,,,Tanigawa[1]-1-0-Sekiwake Kurosegawa--91-,,,,,,,,,,,,,,,Dewanoumi-35-18-Komusubi Ryogoku--9-,,,,,,,,,,-,,,,,,,,,-,,,,,,,,,,,,Isegahama[2]-22-9-Sekiwake Kiyosegawa--24-,,,,,,,,-,
1945.11,,,,,,,-,,,,,Tanigawa[1]-1-0-Sekiwake Kurosegawa-HS-91--Isegahama[2]-,,,,,Tatsunami-19-9-Komusubi Midorishima--94-,,,,,,,,,,Dewanoumi-31-15-Komusubi Ryogoku--9-,,,,,,,,,,-,,,,,,,,,-,,,,,,,,,,,,Isegahama[2]-22-9-Sekiwake Kiyosegawa--24-,,,,,,,,-,
1946.11,,,,,,,Takasago-22-11-Yokozuna Maedayama--84-,,,,,-,,,,,Tatsunami-21-9-Komusubi Midorishima--94-,,,,,,,,,,Dewanoumi-26-12-Komusubi Ryogoku-HM-9--Mihogaseki[1],,,,,,,,,,-,,,,,,,,,-,,,,,,,,,,,,Isegahama[2]-23-9-Sekiwake Kiyosegawa-HM-24--Tanigawa[1],,,,,,,,-,
1947.06,,,,,,,Takasago-21-8-Yokozuna Maedayama--84-,,,,,-,,,,,Tatsunami-25-10-Komusubi Midorishima-HM-94--Kasugayama[1],,,,,,,,,,-,,,,,,,,,,-,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,-,
1947.11,,,,,,,Takasago-23-9-Yokozuna Maedayama-HM-84--Hanakago[1],,,,,-,,,,,-,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,-,
1948.05,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,-,
1948.10,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,-,
1949.01,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,-,
1949.05,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,Isenoumi[3]-5-0-Maegashira #1 Kashiwado-HB-25--Nishikijima-,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,-,
1949.10,,,,,,,,,,,,-,,,,,,,,,,,,,,,,Dewanoumi-31-15-Yokozuna Tsunenohana--9-,,,,,,,,,Isenoumi[3]-5-0-Maegashira #1 Kashiwado--25-,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,-,
