Basho,Oguruma,Kagamiyama,Azumazeki,Minezaki,Nakagawa,Izutsu,Takanohana,Kasugayama,Asahiyama,Mihogaseki,Magaki,Hanaregoma,Nishonoseki,Nakamura,Hanakago,Oshima,Tagonoura,Takashima,Kiriyama,Araiso,Isegahama,Hatachiyama,Oshiogawa,Takekuma,Kabutoyama,Wakamatsu,Tatsutagawa,Kise,Kumagatani,Onaruto,Kasugayama,Oyama,Hanakago,Takashima,Magaki,Nakagawa,Tanigawa,Minatogawa,Onogawa,Oitekaze
1943.05,,,,,,,,,6-3-OS Futasegawa--4-,,,,19-10-S Tamanoumi--60-,,,,,,,,20-6-S Kiyosegawa--24-,,,,,3-1-K Izumigawa--102-,,,,,,2-0-O Matsunobori--71-,,,,,,,1-1-M4 Aobayama--28-Jinmaku,1-0-O Shimizugawa--62-
1944.01,,,,,,,,,6-3-S Futasegawa-HT-4-,,,,21-9-S Tamanoumi--60-,,,,,,,,20-6-S Kiyosegawa--24-,,,,,3-1-K Izumigawa--102-,,,,,,2-0-O Matsunobori--71-,,,,,,,1-1-M4 Aobayama--28-Jinmaku,1-0-O Shimizugawa--62-
1944.05,,,,,,,,,6-3-S Futasegawa--4-,,,,22-8-S Tamanoumi--60-,,,,,,,,20-8-S Kiyosegawa--24-,,,,,3-1-K Izumigawa--102-,,,,,,2-0-O Matsunobori--71-,,,,,,,-----,1-0-O Shimizugawa--62-
1944.11,,,,,,,,,6-3-S Futasegawa--4-,,,,22-10-S Tamanoumi--60-,,,,,,,,22-8-S Kiyosegawa--24-,,,,,3-1-K Izumigawa--102-,,,,,,2-0-O Matsunobori--71-,,,,,,,-----,1-0-O Shimizugawa--62-
1945.06,,,,,,,,,6-3-S Futasegawa--4-,,,,21-9-S Tamanoumi--60-,,,,,,,,22-9-S Kiyosegawa--24-,,,,,3-1-K Izumigawa--102-,,,,,,2-0-O Matsunobori--71-,,,,,,,-----,1-0-O Shimizugawa--62-
1945.11,,,,,,,,,6-3-S Futasegawa--4-,,,,22-11-S Tamanoumi--60-,,,,,,,,22-9-S Kiyosegawa--24-,,,,,3-1-K Izumigawa--102-,,,,,,2-0-O Matsunobori--71-,,,,,,,-----,1-0-O Shimizugawa--62-
1946.11,,,,,,,,,7-3-S Futasegawa--4-,,,,28-10-S Tamanoumi--60-,,,,,,,,23-9-S Kiyosegawa--24-,,,,,3-1-K Izumigawa--102-,,,,,,2-0-O Matsunobori--71-,,,,,,,-----,1-0-O Shimizugawa--62-
1947.06,,,,,,,,,7-4-S Futasegawa--4-,,,,29-11-S Tamanoumi--60-,,,,,,,,23-8-S Kiyosegawa--24-,,,,,3-1-K Izumigawa--102-,,,,,,2-0-O Matsunobori--71-,,,,,,,2-0-M2 Kinkazan-HT-65-,1-1-O Shimizugawa--62-
1947.11,,,,,,,,,6-3-S Futasegawa--4-,,,,33-11-S Tamanoumi--60-,,,,,,,,22-9-S Kiyosegawa--24-,,,,,2-0-K Izumigawa--102-,,,,,,2-0-O Matsunobori--71-,,,,,,,2-1-M2 Kinkazan--65-,1-1-O Shimizugawa--62-
1948.05,,,,,,,,,6-3-S Futasegawa--4-,,,,33-9-S Tamanoumi--60-,,,,,,,,23-10-S Kiyosegawa--24-,,,,,2-0-K Izumigawa--102-,,,,,,2-0-O Matsunobori--71-,,,,,,,2-0-M2 Kinkazan--65-,1-1-O Shimizugawa--62-
1948.10,,,,,,,,,6-3-S Futasegawa--4-,,,,33-9-S Tamanoumi--60-,,,,,,,,23-9-S Kiyosegawa--24-,,,,,3-0-K Izumigawa--102-,,,,,,2-0-O Matsunobori--71-,,,,,,,3-1-M2 Kinkazan--65-,1-1-O Shimizugawa--62-
1949.01,,,,,,,,,6-3-S Futasegawa--4-,,,,32-10-S Tamanoumi--60-,,,,,,,,22-8-S Kiyosegawa--24-,,,,,3-0-K Izumigawa--102-,,,,,,2-0-O Matsunobori--71-,,,,,,,3-0-M2 Kinkazan--65-,1-1-O Shimizugawa--62-
1949.05,,,,,,,,,5-2-S Futasegawa--4-,,,,35-11-S Tamanoumi--60-,,,,,,,,22-7-S Kiyosegawa--24-,,,,,3-0-K Izumigawa--102-,,,,,,1-1-O Matsunobori--71-,,,,,,,3-1-M2 Kinkazan--65-,1-1-O Shimizugawa--62-
1949.10,,,,,,,,,6-2-S Futasegawa--4-,,,,35-11-S Tamanoumi--60-,,,,,,,,22-8-S Kiyosegawa--24-,,,,,3-1-K Izumigawa--102-,,,,,,1-1-O Matsunobori--71-,,,,,,,3-0-M2 Kinkazan--65-,2-1-O Shimizugawa--62-
1950.01,,,,,,,,,7-2-S Futasegawa--4-,,,,37-13-S Tamanoumi--60-,,,,,,,,22-8-S Kiyosegawa--24-,,,,,3-1-K Izumigawa--102-,,,,,,1-1-O Matsunobori--71-,,,,,,,3-1-M2 Kinkazan--65-,2-1-O Shimizugawa--62-
1950.05,,,,,,,,,8-2-S Futasegawa--4-,3-1-O Masuiyama I-HB-47-,,,40-14-S Tamanoumi--60-,,,,,,,,22-7-S Kiyosegawa--24-,,,,,4-1-K Izumigawa--102-,,,,,,1-1-O Matsunobori--71-,,,,,,,3-1-M2 Kinkazan--65-,2-1-O Shimizugawa--62-
1950.09,,,,,,,,,9-2-S Futasegawa--4-,3-1-O Masuiyama I--47-,,,39-12-S Tamanoumi--60-,,,,,,,,23-10-S Kiyosegawa--24-,,,,,5-1-K Izumigawa--102-,,,,,,1-1-O Matsunobori--71-,,,,,,,3-1-M2 Kinkazan--65-,2-1-O Shimizugawa--62-
